Statistics for user input queue:  (2 : 4)  (5 : 4)  (9 : 4) 

Trial,OutputHist,BestFitness

0, (2 : 2)  (5 : 1) , 12
1, (2 : 3) , 12
2, (5 : 2)  (9 : 1) , 12
3, (9 : 3) , 12
4, (9 : 2)  (11 : 1) , 8
5, (5 : 3) , 12
6, (5 : 2)  (9 : 1) , 12
7, (5 : 2)  (11 : 1) , 8
8, (2 : 3) , 12
9, (2 : 2)  (10 : 1) , 8
10, (2 : 2)  (10 : 1) , 8
11, (5 : 2)  (7 : 1) , 8
12, (2 : 2)  (9 : 1) , 12
13, (2 : 2)  (7 : 1) , 8
14, (2 : 1)  (9 : 2) , 12
15, (5 : 2)  (10 : 1) , 8
16, (9 : 3) , 12
17, (9 : 2)  (11 : 1) , 8
18, (1 : 1)  (9 : 2) , 8
19, (0 : 1)  (2 : 2) , 8
20, (1 : 1)  (2 : 2) , 8
21, (2 : 3) , 12
22, (1 : 2)  (5 : 1) , 4
23, (5 : 2)  (6 : 1) , 8
24, (1 : 1)  (5 : 1) , 4
25, (5 : 3) , 12
26, (0 : 1)  (1 : 1)  (2 : 1) , 4
27, (9 : 3) , 12
28, (2 : 2)  (10 : 1) , 8
29, (5 : 1)  (9 : 2) , 12
